xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
acid green,#8ffe09,143,254,9,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
adobe,#bd6c48,189,108,72,russet brown,#b15d24,177,93,36,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
algae,#54ac68,84,172,104,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
algae green,#21c36f,33,195,111,kelly green,#1dbb64,29,187,100,tree green,#20b069,32,176,105,blue green,saturated color,color
almost black,#070d0d,7,13,13,black,#0c0504,12,5,4,black,#0c0504,12,5,4,black,dark neutral,neutral
amber,#feb308,254,179,8,mac and cheese,#f9b311,249,179,17,golden yellow,#f9b311,249,179,17,yellow orange,saturated color,color
amethyst,#9b5fc0,155,95,192,sangria,#895393,137,83,147,medium lavender,#8a5891,138,88,145,purple,muted color,color
apple,#6ecb3c,110,203,60,apple green,#6fd03b,111,208,59,primary green,#39a332,57,163,50,green,saturated color,color
apple green,#76cd26,118,205,38,apple green,#6fd03b,111,208,59,primary green,#39a332,57,163,50,green,saturated color,color
apricot,#ffb16d,255,177,109,apricot,#ffb074,255,176,116,peach,#ffc287,255,194,135,red orange,pastel,color
aqua,#13eac9,19,234,201,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
aqua blue,#02d8e9,2,216,233,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
aqua green,#12e193,18,225,147,bright mint,#1fd37c,31,211,124,mint green,#52ec9c,82,236,156,blue green,tinted color,color
aqua marine,#2ee8bb,46,232,187,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
aquamarine,#04d8b2,4,216,178,turquoise,#05cdaf,5,205,175,aqua,#4cd4b9,76,212,185,blue green,tinted color,color
army green,#4b5d16,75,93,22,deep leaf green,#485a14,72,90,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
asparagus,#77ab56,119,171,86,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
aubergine,#3d0734,61,7,52,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
auburn,#9a3001,154,48,1,umber,#953308,149,51,8,umber,#953308,149,51,8,sienna,painterly neutral,neutral
avocado,#90b134,144,177,52,icky green,#86a51e,134,165,30,avocado,#86a51e,134,165,30,green yellow,dark color,color
avocado green,#87a922,135,169,34,icky green,#86a51e,134,165,30,avocado,#86a51e,134,165,30,green yellow,dark color,color
azul,#1d5dec,29,93,236,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
azure,#069af3,6,154,243,azure blue,#088cda,8,140,218,bright blue,#2078c7,32,120,199,blue,tinted color,color
baby blue,#a2cffe,162,207,254,french blue,#8ec8fd,142,200,253,hydrangea,#94b5fc,148,181,252,violet blue,pastel,color
baby green,#8cff9e,140,255,158,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
baby pink,#ffb7ce,255,183,206,ballet pink,#fec0da,254,192,218,pink,#fec9de,254,201,222,red,pastel,color
baby poo,#ab9004,171,144,4,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
baby poop,#937c00,147,124,0,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
baby poop green,#8f9805,143,152,5,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
baby puke green,#b6c406,182,196,6,bright olive,#afbd07,175,189,7,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
baby purple,#ca9bf7,202,155,247,lavender,#cba1f9,203,161,249,lilac,#cda7f7,205,167,247,purple,pastel,color
baby shit brown,#ad900d,173,144,13,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
baby shit green,#889717,136,151,23,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
banana,#ffff7e,255,255,126,banana yellow,#fffd82,255,253,130,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
banana yellow,#fafe4b,250,254,75,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
barbie pink,#fe46a5,254,70,165,barbie pink,#fe46a5,254,70,165,pink carnation,#ed52aa,237,82,170,violet red,tinted color,color
barf green,#94ac02,148,172,2,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
barney,#ac1db8,172,29,184,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
barney purple,#a00498,160,4,152,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
battleship grey,#6b7c85,107,124,133,steel grey,#6f808d,111,128,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
